1,о,0.10983
2,е,0.08483
3,а,0.07998
4,и,0.07367
5,н,0.067
6,т,0.06318
7,с,0.05473
8,р,0.04746
9,в,0.04533
10,л,0.0434
11,к,0.03486
12,м,0.03203
13,д,0.02977
14,п,0.02804
15,у,0.02615
16,я,0.02001
17,ы,0.01898
18,ь,0.01735
19,г,0.01687
20,з,0.01641
21,б,0.01592
22,ч,0.0145
23,й,0.01208
24,х,0.00966
25,ж,0.0094
26,ш,0.00718
27,ю,0.00639
28,ц,0.00486
29,щ,0.00361
30,э,0.00331
31,ф,0.00267
32,ъ,0.00037
33,ё,0.00013
